作品名,アイテムカテゴリ,アイテム名,フレーバーテキスト,取得先URL
"ブラッドボーン","全アイテム","アイテム一覧","ヨセフカの輸血液ヨセフカの診療所、その女医に渡された輸血液精製されたそれは感覚効果が高く、より大きなHPを回復する精製の時間と手間からは、一般的なものではない恐らくは、女医の自製によるものだろうIosefka's Blood VialBlood vial acquired from Iosefka's clinic.This refined blood, highly invigorating, restores a larger amount of HP.The product of a slow and careful refinement process, this rare blood vial appears to be a clinic original.\n\n---\n\nアリアンナの血聖堂街の娼婦アリアンナの「施しの血」彼女の血は甘く、HP回復に加え 一定時間スタミナの回復速度を高める古い医療教会の人間であれば、あるいは気づくだろうか それは、かつて教会の禁忌とされた血に近しいものだBlood of AriannaBlood taken from Arianna, Cathedral Ward woman of pleasure. The sweet blood of Arianna restores HP, and temporarily speeds stamina recovery.A member of the old Healing Church would know that her blood is similar indeed, to precisely what was once forbidden.\n\n---\n\nアデーラの血医療教会の尼僧アデーラの「施しの血」HP回復に加え、一定時間、さらにHPを回復し続ける教会の尼僧たちは、優れた血を宿すべく選ばれ 調整された「血の聖女」であるその施しは、医療教会と拝領の価値の象徴なのだBlood of AdellaBlood taken from Adella, nun of the Healing Church. Restores an amount of HP, then continues to gradually restore HP for a short time.The Healing Church nuns are chosen for their merit as vessels for blood, and groomed as Blood Saints. The mere chance of being treated with their blood lends legitimacy to the Healing Church and communion.\n\n---\n\n輸血液血の医療で使用される特別な血液。HPを回復するヤーナム独特の血の医療を受けたものは以後、同様の輸血により生きる力、その感覚を得る故にヤーナムの民の多くは、血の常習者であるBlood VialSpecial blood used in ministration, Restores HP.Once a patient has had their blood ministrated, a unique butcommon treatment in Yharnam, successive infusions recallthe first, and are all the more invigorating for it.No surprise that most Yharnamites are heavy users of blood.\n\n---\n\n水銀弾獣狩りの銃で使用される特別な弾丸通常の弾丸では、獣に対する効果は期待できないため触媒となる水銀に狩人の血を混ぜ、これを弾丸としたものその威力は血の性質に依存する部分が大きいQuicksilver BulletsSpecial bullets used with hunter firearms.Ordinary bullets have no effect on beasts, and so Quicksilver Bullets, fused with the wielder's own blood, must be employed.The strength of Quicksilver Bullets depends greatly upon the wielder's bloodtinge.\n\n---\n\n白い丸薬毒を治療する小さな丸薬かつて旧市街を蝕んだ奇怪な病、灰血病の治療薬もっとも、その効果はごく一時的なものにすぎず灰血病は、後の悲劇、獣の病蔓延の引き金になってしまったAntidoteSmall medicinal tablets that counteract poison.Used to treat ashen blood, the baffling sickness that ravaged Old Yharnam long ago.These tablets only provide short-term relief. The ashen blood ailment eventually triggered the spread of the beastly scourge.\n\n---\n\n獣血の丸薬獣血を固めたといわれる巨大な丸薬故は分からず、医療教会は禁忌として関わりを否定している飲んだ者を一時の獣性に導く獣性は攻撃により、傷つき裂ける肉と返り血により高まりそれを続けることで、更なる力と快楽を、使用者にもたらすだろうBeast Blood PelletLarge medicinal pellets, supposedly formed of coagulated beast blood. Banned by the Healing Church due to their unclear origin. Grants a spurt of beasthood.""Ripping apart the flesh of one's enemies and being rained up by their splattering blood invigorates one's sense of beasthood, feeding strength and euphoric feeling alike.\n\n---\n\n鎮静剤ビルゲンワース発祥の飲み薬、気を鎮める効果がある神秘の研究者にとって、気の狂いはありふれた症状であり濃厚な人血の類は、そうした気の乱れを沈めてくれるそれはやがて、血の医療へと繋がる萌芽であったSedativeLiquid medicine concocted at Byrgenwerth. Calms the nerves.Those who delve into the arcane fall all-too-easily to madness, and thick human blood serves to calm the frayed nerves of these inquisitive minds. Naturally, this often leads to a reliance on blood ministration.\n\n---\n\n青い秘薬医療教会の上位医療者が、怪しげな実験に用いる飲み薬それは脳を麻痺させる、精神麻酔の類であるだが狩人は、遺志により意識を保ち、その副作用だけを利用するすなわち、動きを止め、己が存在そのものを薄れさせるのだBlue ElixirDubious liquid medicine used in strange experiments conducted by high ministers of the Healing Church.A type of anesthetic that numbs the brain.Hunters, able to retain consciousness by force of will, make use of a secondary effect of the medicine, which dilutes their presence while standing still.\n\n---\n\n鉛の秘薬重苦しくドロリとした飲み薬一時的に比重を高め、攻撃を弾きやすくする効果があるが動きは鈍り、また防御力も変わらないため、使いどころが難しい製法が全く知られていない謎めいた薬であるが一説には、悪夢的な絶望の中でのみ、これが生まれるというLead ElixirA heavy, syrupy liquid medicine.Temporarily shifts Weight to make deflection of attacks easier, but must be used with care, as it also slows movement with no change to defense.Its recipe for this mysterious concoction is unknown, but some postulate that it materializes only within the most desperate nightmares.","https://bloodborne.swiki.jp/index.php?%E3%82%A2%E3%82%A4%E3%83%86%E3%83%A0"
"デモンズソウル","その他","消耗品","月齢の名を持つ薬草使用者のHPを少し回復する月の草は、状態によりその効果が変わる三日月草は、ごく若い月の草を摘んだものである（アイテム: 不明）\n\n---\n\n水に浮かぶ青い花の花弁使用者の出血を癒やすボーレタリアでは、半ば象徴的な意味を込めて出生の儀にて、戦に赴く兵士たちに渡される（アイテム: 不明）\n\n---\n\n水に浮かぶ紅い花の花弁使用者の毒を癒やすその美しさから、貴人の装飾品として有名になった（アイテム: 不明）\n\n---\n\n水に浮かぶ暗い花の花弁使用者の疫病を癒やす疫病に冒されたものを埋葬し、土に還す際に身に着けるが転じて、残された者たちを象徴する花となった（アイテム: 不明）\n\n---\n\n心を落ち着かせる、よい香りの香料使用者のMPを回復する嗜好品として貴族たちに実用品として魔術師たちにそれぞれ重用されている（アイテム: 不明）","https://seesaawiki.jp/fromsoft_flavor-text/d/Demon%27s%be%c3%cc%d7%c9%ca"
"デモンズソウル","その他","投擲アイテム","投擲用に調整されたナイフ投げつけて攻撃する軽装の騎士などが、予備の武器として携帯することが多い（アイテム: 不明）\n\n---\n\n投擲用に調整された特殊な短刀水平に投げて攻撃する王に飼われた隠密たちが使用する信じられないほど見た目の邪悪な武器（アイテム: 不明）\n\n---\n\n投擲用の、毒の塗られた暗器投げつけて攻撃する刀と同様の、遠い国の武器のひとつ（アイテム: 不明）\n\n---\n\n燃える布で栓をした油壺投げつけると、割れて炎を発生させる（アイテム: 不明）\n\n---\n\n画像に記載されている文字を下のフォームに入力してください。（アイテム: 不明）","https://seesaawiki.jp/fromsoft_flavor-text/d/Demon%27s%c5%ea%da%b3%a5%a2%a5%a4%a5%c6%a5%e0"
"デモンズソウル","その他","ソウル","遺体に残っていた、名も無き戦士の魂の名残使用により、使用者のソウルとなるこれを遺体に放っておいても、やがてデーモンの糧になるだけだそれならば…（アイテム: 不明）\n\n---\n\n遺体に残っていた、高名な戦士の魂の名残使用により、使用者のソウルとなるこれを遺体に放っておいても、やがてデーモンの糧になるだけだそれならば…（アイテム: 不明）\n\n---\n\n遺体に残っていた、伝承の戦士の魂の名残使用により、使用者のソウルとなるこれを遺体に放っておいても、やがてデーモンの糧になるだけだそれならば…（アイテム: 不明）\n\n---\n\n画像に記載されている文字を下のフォームに入力してください。（アイテム: 不明）","https://seesaawiki.jp/fromsoft_flavor-text/d/Demon%27s%a5%bd%a5%a6%a5%eb"
"デモンズソウル","その他","デモンズソウル","デーモン「ファランクス」のソウル強い力を感じる使用により、使用者に大量のソウルをもたらす他魔法、奇跡、武器などに変じることもある（アイテム: 不明）\n\n---\n\nデーモン「塔の騎士」のソウル強い力を感じる使用により、使用者に大量のソウルをもたらす他魔法、奇跡、武器などに変じることもある（アイテム: 不明）\n\n---\n\nデーモン「つらぬきの騎士」のソウル強い力を感じる使用により、使用者に大量のソウルをもたらす他魔法、奇跡、武器などに変じることもある（アイテム: 不明）\n\n---\n\nデーモン「王の化身」のソウル非常に強い力を感じる使用により、使用者に大量のソウルをもたらす他魔法、奇跡、武器などに変じることもある（アイテム: 不明）\n\n---\n\nデーモン「王の飛竜」のソウル強い力を感じる使用により、使用者に大量のソウルをもたらす他魔法、奇跡、武器などに変じることもある（アイテム: 不明）","https://seesaawiki.jp/fromsoft_flavor-text/d/Demon%27s%a5%c7%a5%e2%a5%f3%a5%ba%a5%bd%a5%a6%a5%eb"
"デモンズソウル","その他","強化素材","硬質の鉱石の欠片直剣、斧、槌などを強化する武器の威力を平均的に高める、基本的な鉱石硬石による強化は最大で10段階まで可能となる（アイテム: 不明）\n\n---\n\n硬質の鉱石の大きな欠片直剣、斧、槌などを強化する武器の威力を平均的に高める、基本的な鉱石硬石による強化は最大で10段階まで可能となる（アイテム: 不明）\n\n---\n\n硬質の鉱石の塊直剣、斧、槌などを強化する武器の威力を平均的に高める、基本的な鉱石硬石による強化は最大で10段階まで可能となる（アイテム: 不明）\n\n---\n\n貴重な、純粋な硬石直剣、斧、槌などを強化する武器の威力を平均的に高める、基本的な鉱石硬石による強化は最大で10段階まで可能となる（アイテム: 不明）\n\n---\n\n鋭い鉱石の欠片刺剣、曲剣、槍などを強化する武器の威力を平均的に高める、基本的な鉱石鋭石による強化は最大で10段階まで可能となる（アイテム: 不明）","https://seesaawiki.jp/fromsoft_flavor-text/d/Demon%27s%b6%af%b2%bd%c1%c7%ba%e0"
"デモンズソウル","その他","貴重品","ソウルの業により光を放つ石その光は、周囲のソウルにより色を変える「拓くもの」賢者フレーキの友であり魔術的工芸品で知られた、ゲリの作の一つ軽量かつ扱いが容易であることからひろく旅人に愛用されている（アイテム: 不明）\n\n---\n\n彫刻された蝋石の鍵ボーレタリア王家霊廟の扉を開く（アイテム: 不明）\n\n---\n\n数字(Ⅰ)の刻印された鉄の鍵希望の牢1階の、閉じた通路を開く（アイテム: 不明）\n\n---\n\n数字(Ⅲ)の刻印された鉄の鍵希望の牢3階の、閉じた通路を開く（アイテム: 不明）\n\n---\n\n数字(Ⅳ)の刻印された鉄の鍵希望の牢4階の、閉じた通路を開く（アイテム: 不明）","https://seesaawiki.jp/fromsoft_flavor-text/d/Demon%27s%b5%ae%bd%c5%c9%ca"
"デモンズソウル","その他","矢・ボルト","","https://seesaawiki.jp/fromsoft_flavor-text/d/Demon%27s%cc%f0%a1%a6%a5%dc%a5%eb%a5%c8"
"デモンズソウル","その他","テンプレート","","https://seesaawiki.jp/fromsoft_flavor-text/d/%a5%c6%a5%f3%a5%d7%a5%ec%a1%bc%a5%c8"
"デモンズソウル","その他","テンプレート2","","https://seesaawiki.jp/fromsoft_flavor-text/d/%a5%c6%a5%f3%a5%d7%a5%ec%a1%bc%a5%c82"
"デモンズソウル","その他","短剣","","https://seesaawiki.jp/fromsoft_flavor-text/d/Demon%27s%c3%bb%b7%f5"
"ダークソウル1","その他","消耗品","不死人の宝たる鈍い緑ガラスの瓶篝火でエストを溜め、飲んでＨＰを回復する篝火の守り手、火防女と深い関わりがあるようで暗い伝承にはこんな一説がある　火防女の魂から、その緑瓶は生まれる　彼女たちは、生きて篝火を守り　死してなお、その熱を守り続けるのだ（アイテム: 不明）\n\n---\n\n霊廟の守人、エリザベスの秘薬大型の菌類の類だろうか口にすれば肉体を鼓舞し、高揚させ一定時間、ＨＰを大きく回復し続けるその強い効果は、戦士の切り札ともなるだろう（アイテム: 不明）\n\n---\n\n女神グウィネヴィアの祝福の聖水ＨＰを全回復し、異常を癒す太陽の光の女神として知られるグウィネヴィアは偉大なる太陽の光の王グウィンの娘であり豊穣と恵みの象徴として、ひろく人々に愛されている（アイテム: 不明）\n\n---\n\n大輪の花のような緑の草一時的に、スタミナの回復速度を上げる独特の苦味と刺激に特徴のある草本その効果により大量に栽培されることもあるが本来は水辺に自生する一年草である（アイテム: 不明）\n\n---\n\n薬効のある赤色の苔玉出血の蓄積を減らす出血は、鋭い刃やトゲの攻撃により蓄積し発生すると大きなダメージとなるそうなる前に、この苔玉を使うとよい（アイテム: 不明）","https://seesaawiki.jp/fromsoft_flavor-text/d/DSR%be%c3%cc%d7%c9%ca"
"ダークソウル1","その他","投擲アイテム","投擲用のナイフ敵に投げつける弓などに比べ飛距離は短く、精度も低いが簡単に間接攻撃ができるアイテムこれ以外に間接攻撃手段がないようであれば備えとして持っておくのもよいだろう（アイテム: 不明）\n\n---\n\n投擲用のナイフ刃に毒が塗られており、敵に投げつける弓などに比べ飛距離は短く、精度も低いが簡単に間接攻撃ができるアイテム敵を毒状態にすることができればしばらくダメージを与え続けることができる（アイテム: 不明）\n\n---\n\n火薬の詰められた素焼きの壷爆発して炎ダメージを与える比較的威力の大きい間接攻撃でありまた炎ダメージが有効な場面もあるため特に低レベルでは貴重なアイテムであるこれを愛用し、戦術に組み込む戦士も多い（アイテム: 不明）\n\n---\n\n火薬の詰められた黒い素焼きの壷爆発して炎ダメージを与える威力の大きい間接攻撃でありまた炎ダメージが有効な場面もあるため特に低レベルでは貴重なアイテムである特に黒い火炎壷は、通常のものより威力が大きい（アイテム: 不明）\n\n---\n\n主神ロイドの騎士が不死人を狩るときの道具効果範囲内でエストによる回復をできなくする人の世界では、不死人は呪われた化け物であり不死を狩るロイドの騎士は英雄ですらあるその英雄は、この祝福された護符により不死の回復だけを封じ、正々堂々と戦うのだ（アイテム: 不明）","https://seesaawiki.jp/fromsoft_flavor-text/d/DSR%c5%ea%da%b3%a5%a2%a5%a4%a5%c6%a5%e0"
"ダークソウル1","その他","ソウル","火継ぎの祭祀場の火防女、灰色の聖女の魂火防女の魂は人間性の憑代でありそれは彼女たちの体においても変わらないあらゆる皮膚の下に無数の人間性が蠢きその姿は、大抵おぞましいものとなる彼女が暗い牢の虜囚となったのもあるいは自ら進んでのことだったのだろうか（アイテム: 不明）\n\n---\n\nアノール・ロンドの火防女、暗月の女騎士の魂火防女の魂は人間性の憑代でありそれは彼女たちの体においても変わらないあらゆる皮膚の下に無数の人間性が蠢きその姿は、大抵おぞましいものとなる彼女の真鍮の鎧はその姿を隠すものでもあったわけだ（アイテム: 不明）\n\n---\n\nクラーグの住処の火防女、混沌の娘の魂火防女の魂は人間性の憑代でありそれは彼女たちの体においても変わらないあらゆる皮膚の下に無数の人間性が蠢きその姿は、大抵おぞましいものとなる彼女においてそれは、無数のたまごとして現れたあのたまごはすべて、人間性の揺り篭なのだ（アイテム: 不明）\n\n---\n\nいつかどこかにいた火防女の魂火防女とは篝火の化身であり捧げられた人間性の憑代であるその魂は、無数の人間性に食い荒らされ不死の宝、エスト瓶の力を高めるというアイテムとして使用することもできるがその場合エスト瓶は強化されず人間性を得、ＨＰを回復し、火防女の魂は失われる（アイテム: 不明）\n\n---\n\n亡者となり、遂に動かなくなった故も知らぬ不死人のソウル使用によりソウルを獲得するソウルは生命すべての源であり不死となり、また亡者となっても皆本能的にそれを求め続ける（アイテム: 不明）","https://seesaawiki.jp/fromsoft_flavor-text/d/DSR%a5%bd%a5%a6%a5%eb"
"ダークソウル1","その他","ツール","","https://seesaawiki.jp/fromsoft_flavor-text/d/DSR%a5%c4%a1%bc%a5%eb"
"ダークソウル1","その他","強化素材","武器を強化する楔石の欠片そのもっともありふれたもの通常の武器を＋５まで強化する楔石の欠片は神の持つ原盤から剥がれた薄片であるといわれ武器に刻み込むことでその武器を強化する（アイテム: 不明）\n\n---\n\n武器を強化する青楔石の原盤伝承では神が持つとされていたもの魔法の武器を＋１０に強化し魔力の武器を＋５に強化する原盤は、名も無き鍛治の神の遺物であり選ばれた神の武器を鍛えるためのものであるこれによって鍛えられた武器は数少ない伝説の武器に並び称されるだろう（アイテム: 不明）\n\n---\n\n武器を強化する白楔石の原盤伝承では神が持つとされていたもの神聖の武器を＋１０に強化し邪教の武器を＋５に強化する原盤は、名も無き鍛治の神の遺物であり選ばれた神の武器を鍛えるためのものであるこれによって鍛えられた武器は数少ない伝説の武器に並び称されるだろう（アイテム: 不明）\n\n---\n\n武器を強化する赤楔石の原盤伝承では神が持つとされていたもの炎の武器を＋１０に強化し混沌の武器を＋５に強化する原盤は、名も無き鍛治の神の遺物であり選ばれた神の武器を鍛えるためのものであるこれによって鍛えられた武器は数少ない伝説の武器に並び称されるだろう（アイテム: 不明）\n\n---\n\n竜の体から生まれるというドラゴンウェポンを強化するウロコ竜のウロコは古竜の体の一部であり古竜の永遠を求める超越者たちが世界の垣根を超え探し求めているという（アイテム: 不明）","https://seesaawiki.jp/fromsoft_flavor-text/d/DSR%b6%af%b2%bd%c1%c7%ba%e0"
"ダークソウル1","その他","マルチプレイ専用","","https://seesaawiki.jp/fromsoft_flavor-text/d/DSR%a5%de%a5%eb%a5%c1%a5%d7%a5%ec%a5%a4%c0%ec%cd%d1"
"ダークソウル1","その他","誓約アイテム","オンラインプレイ専用アイテム他の世界から霊体を誘い込む（誓約者のみが使用でき、亡者では使用できない）禍々しい「死の瞳」は、他の世界に災厄をばら撒き犠牲者となる霊体を誘い込むための手段である犠牲者は「死の瞳」を生み、災厄は更に広がるのだ（アイテム: 不明）\n\n---\n\n血が抜けて縮んだ耳倒れた罪人から切り取られたもの暗月の剣の騎士たちは、神々の敵たる罪人を誅しその証としてこれを持ち帰る耳のない罪人の死体は恐怖の対象となる人々は復讐の刃を知り、もって神々を敬うだろうそれが、陰の太陽の永の使命なのだ（アイテム: 不明）\n\n---\n\n太陽のホーリーシンボルが刻まれたメダル太陽の戦士を召喚し、目的を達成した皆に贈られるわずかに熱を帯びた、なによりの名誉の証シンボルの主、太陽の光の長子はすべての記録と共に神を追われて久しいがいまだ戦神として、戦士たちを見守っている（アイテム: 不明）\n\n---\n\n画像に記載されている文字を下のフォームに入力してください。（アイテム: 不明）","https://seesaawiki.jp/fromsoft_flavor-text/d/DSR%c0%c0%cc%f3%a5%a2%a5%a4%a5%c6%a5%e0"
"ダークソウル1","その他","貴重品","分け与えられた王のソウル(四人の公王)（アイテム: 不明）\n\n---\n\n武器を進化させるために必要な種火大きな種火は中でも上質なものでありアストラの鍛冶屋が扱う＋５の通常武器を進化させ＋１０まで強化できるようにするまた、＋５の通常武器を粗製武器に進化させる（粗製武器は＋５まで強化できる）（アイテム: 不明）\n\n---\n\n注ぎ火にて、さらに大きく篝火を育てより多くのエストを得るための秘儀聖職の伝承に秘密として伝わるが儀式自体はすべての不死人が行えるしかし人は、不死となりはじめて人間性の「使い途」を得るものなのか（アイテム: 不明）\n\n---\n\n楔石を刻み込み武器を強化するための道具篝火で休息するときに武器を強化できるようになる（アイテム: 不明）\n\n---\n\n楔石を刻み込み防具を強化するための道具篝火で休息するときに防具を強化できるようになる（アイテム: 不明）","https://seesaawiki.jp/fromsoft_flavor-text/d/DSR%b5%ae%bd%c5%c9%ca"
"ダークソウル1","その他","矢・ボルト","","https://seesaawiki.jp/fromsoft_flavor-text/d/DSR%cc%f0%a1%a6%a5%dc%a5%eb%a5%c8"
"ダークソウル1","その他","その他","","https://seesaawiki.jp/fromsoft_flavor-text/d/DSR%a5%a2%a5%a4%a5%c6%a5%e0%5f%a4%bd%a4%ce%c2%be"
"ダークソウル3","その他","消耗品","鈍い緑色のガラス瓶不死人の宝篝火でエストを溜め、飲んでＨＰを回復する古くより、不死の旅は篝火を巡りエスト瓶はいつも旅と共にあった（アイテム: 不明）\n\n---\n\n鈍い灰色のガラス瓶火の無い灰の宝篝火でエストを溜め、飲んでＦＰを回復する篝火の熱を、冷たく変える灰瓶は火の無い灰にこそ相応しいだろう（アイテム: 不明）\n\n---\n\n英雄たちの内にある残り火火の無き灰たちが終に得られず故に惹かれるもの死ぬまで火の力を得、最大ＨＰを増やすまた、火の力を得た者にはサインが見え残り火に惹かれる協力者を召喚できるだが同時に、侵入者の影も付き纏うだろう（アイテム: 不明）\n\n---\n\nエストの染み付いた破片祭祀場の鍛冶屋に渡すことでエスト瓶の使用回数を増やす古来エスト瓶は不死と共にありこれは砕かれた希望なのだろう（アイテム: 不明）\n\n---\n\nまだ燃え尽きていない、不死人の遺骨祭祀場の篝火にくべ、エストの回復量を高める篝火の薪は不死人の骨でありまだ燃え尽きぬそれは新しい薪になる死を糧とするのなら、死に祈ることだ（アイテム: 不明）","https://seesaawiki.jp/fromsoft_flavor-text/d/DS3%be%c3%cc%d7%c9%ca"
