作品名,アイテムカテゴリ,アイテム名,フレーバーテキスト,取得先URL
"ブラッドボーン","全アイテム","アイテム一覧","ヨセフカの輸血液ヨセフカの診療所、その女医に渡された輸血液精製されたそれは感覚効果が高く、より大きなHPを回復する精製の時間と手間からは、一般的なものではない恐らくは、女医の自製によるものだろうIosefka's Blood VialBlood vial acquired from Iosefka's clinic.This refined blood, highly invigorating, restores a larger amount of HP.The product of a slow and careful refinement process, this rare blood vial appears to be a clinic original.\n\n---\n\nアリアンナの血聖堂街の娼婦アリアンナの「施しの血」彼女の血は甘く、HP回復に加え 一定時間スタミナの回復速度を高める古い医療教会の人間であれば、あるいは気づくだろうか それは、かつて教会の禁忌とされた血に近しいものだBlood of AriannaBlood taken from Arianna, Cathedral Ward woman of pleasure. The sweet blood of Arianna restores HP, and temporarily speeds stamina recovery.A member of the old Healing Church would know that her blood is similar indeed, to precisely what was once forbidden.\n\n---\n\nアデーラの血医療教会の尼僧アデーラの「施しの血」HP回復に加え、一定時間、さらにHPを回復し続ける教会の尼僧たちは、優れた血を宿すべく選ばれ 調整された「血の聖女」であるその施しは、医療教会と拝領の価値の象徴なのだBlood of AdellaBlood taken from Adella, nun of the Healing Church. Restores an amount of HP, then continues to gradually restore HP for a short time.The Healing Church nuns are chosen for their merit as vessels for blood, and groomed as Blood Saints. The mere chance of being treated with their blood lends legitimacy to the Healing Church and communion.\n\n---\n\n輸血液血の医療で使用される特別な血液。HPを回復するヤーナム独特の血の医療を受けたものは以後、同様の輸血により生きる力、その感覚を得る故にヤーナムの民の多くは、血の常習者であるBlood VialSpecial blood used in ministration, Restores HP.Once a patient has had their blood ministrated, a unique butcommon treatment in Yharnam, successive infusions recallthe first, and are all the more invigorating for it.No surprise that most Yharnamites are heavy users of blood.\n\n---\n\n水銀弾獣狩りの銃で使用される特別な弾丸通常の弾丸では、獣に対する効果は期待できないため触媒となる水銀に狩人の血を混ぜ、これを弾丸としたものその威力は血の性質に依存する部分が大きいQuicksilver BulletsSpecial bullets used with hunter firearms.Ordinary bullets have no effect on beasts, and so Quicksilver Bullets, fused with the wielder's own blood, must be employed.The strength of Quicksilver Bullets depends greatly upon the wielder's bloodtinge.\n\n---\n\n白い丸薬毒を治療する小さな丸薬かつて旧市街を蝕んだ奇怪な病、灰血病の治療薬もっとも、その効果はごく一時的なものにすぎず灰血病は、後の悲劇、獣の病蔓延の引き金になってしまったAntidoteSmall medicinal tablets that counteract poison.Used to treat ashen blood, the baffling sickness that ravaged Old Yharnam long ago.These tablets only provide short-term relief. The ashen blood ailment eventually triggered the spread of the beastly scourge.\n\n---\n\n獣血の丸薬獣血を固めたといわれる巨大な丸薬故は分からず、医療教会は禁忌として関わりを否定している飲んだ者を一時の獣性に導く獣性は攻撃により、傷つき裂ける肉と返り血により高まりそれを続けることで、更なる力と快楽を、使用者にもたらすだろうBeast Blood PelletLarge medicinal pellets, supposedly formed of coagulated beast blood. Banned by the Healing Church due to their unclear origin. Grants a spurt of beasthood.""Ripping apart the flesh of one's enemies and being rained up by their splattering blood invigorates one's sense of beasthood, feeding strength and euphoric feeling alike.\n\n---\n\n鎮静剤ビルゲンワース発祥の飲み薬、気を鎮める効果がある神秘の研究者にとって、気の狂いはありふれた症状であり濃厚な人血の類は、そうした気の乱れを沈めてくれるそれはやがて、血の医療へと繋がる萌芽であったSedativeLiquid medicine concocted at Byrgenwerth. Calms the nerves.Those who delve into the arcane fall all-too-easily to madness, and thick human blood serves to calm the frayed nerves of these inquisitive minds. Naturally, this often leads to a reliance on blood ministration.\n\n---\n\n青い秘薬医療教会の上位医療者が、怪しげな実験に用いる飲み薬それは脳を麻痺させる、精神麻酔の類であるだが狩人は、遺志により意識を保ち、その副作用だけを利用するすなわち、動きを止め、己が存在そのものを薄れさせるのだBlue ElixirDubious liquid medicine used in strange experiments conducted by high ministers of the Healing Church.A type of anesthetic that numbs the brain.Hunters, able to retain consciousness by force of will, make use of a secondary effect of the medicine, which dilutes their presence while standing still.\n\n---\n\n鉛の秘薬重苦しくドロリとした飲み薬一時的に比重を高め、攻撃を弾きやすくする効果があるが動きは鈍り、また防御力も変わらないため、使いどころが難しい製法が全く知られていない謎めいた薬であるが一説には、悪夢的な絶望の中でのみ、これが生まれるというLead ElixirA heavy, syrupy liquid medicine.Temporarily shifts Weight to make deflection of attacks easier, but must be used with care, as it also slows movement with no change to defense.Its recipe for this mysterious concoction is unknown, but some postulate that it materializes only within the most desperate nightmares.","https://bloodborne.swiki.jp/index.php?%E3%82%A2%E3%82%A4%E3%83%86%E3%83%A0"
"デモンズソウル","その他","消耗品","月齢の名を持つ薬草使用者のHPを少し回復する月の草は、状態によりその効果が変わる三日月草は、ごく若い月の草を摘んだものである（アイテム: 不明）\n\n---\n\n水に浮かぶ青い花の花弁使用者の出血を癒やすボーレタリアでは、半ば象徴的な意味を込めて出生の儀にて、戦に赴く兵士たちに渡される（アイテム: 不明）\n\n---\n\n水に浮かぶ紅い花の花弁使用者の毒を癒やすその美しさから、貴人の装飾品として有名になった（アイテム: 不明）\n\n---\n\n水に浮かぶ暗い花の花弁使用者の疫病を癒やす疫病に冒されたものを埋葬し、土に還す際に身に着けるが転じて、残された者たちを象徴する花となった（アイテム: 不明）\n\n---\n\n心を落ち着かせる、よい香りの香料使用者のMPを回復する嗜好品として貴族たちに実用品として魔術師たちにそれぞれ重用されている（アイテム: 不明）\n\n---\n\n刺激のある甘い香りを放つ、古い香料使用者のMPを大きく回復する多種多様な発酵物を混ぜ合わせて作られるがこれを作る者たちの素性と、刺激の強さから場所と時代によっては禁制の品となることもある（アイテム: 不明）\n\n---\n\nストーンファングの鍛冶屋エド・ワイズ謹製の研ぎ石右手の武器の損耗を減じ、耐久度を回復する（アイテム: 不明）\n\n---\n\n半ば以上崩れかけた瞳の石使用者の肉体を取り戻すソウルの体でのみ使用することができ使用後は崩れ去り、失われる（アイテム: 不明）\n\n---\n\n各地に点在する、要の石を削り取った欠片使用者を楔の神殿に転送するかつて要人が小人の長たちに託した要の石もやがて忘れられ、ネズミたちが齧るままとなっている（アイテム: 不明）\n\n---\n\n空気に触れ、一時的に光を放つ石宝石の一種として珍重されるが、特に何の効果もないただ、道標として使用できるだろう（アイテム: 不明）","https://seesaawiki.jp/fromsoft_flavor-text/d/Demon%27s%be%c3%cc%d7%c9%ca"
"デモンズソウル","その他","投擲アイテム","投擲用に調整されたナイフ投げつけて攻撃する軽装の騎士などが、予備の武器として携帯することが多い（アイテム: 不明）\n\n---\n\n投擲用に調整された特殊な短刀水平に投げて攻撃する王に飼われた隠密たちが使用する信じられないほど見た目の邪悪な武器（アイテム: 不明）\n\n---\n\n投擲用の、毒の塗られた暗器投げつけて攻撃する刀と同様の、遠い国の武器のひとつ（アイテム: 不明）\n\n---\n\n燃える布で栓をした油壺投げつけると、割れて炎を発生させる（アイテム: 不明）\n\n---\n\nユーザIDを使用しないで書き込む（アイテム: 不明）\n\n---\n\n画像に記載されている文字を下のフォームに入力してください。（アイテム: 不明）\n\n---\n\n利用規約をご確認のうえご記入下さい（アイテム: 不明）\n\n---\n\nフロムソフト フレーバーテキスト\nフロム・ソフトのフレーバーテキストをまとめる場所（アイテム: 不明）\n\n---\n\nDemon's投擲アイテム（アイテム: 不明）\n\n---\n\nスローイングナイフ（英名：Throwing Knife） \n\n説明文英文画像投擲用に調整されたナイフ投げつけて攻撃する軽装の騎士などが、予備の武器として携帯することが多いA knife balanced for throwing. Aim and throw to attack.A handy backup weapon for lightly-equipped knights.（アイテム: 不明）","https://seesaawiki.jp/fromsoft_flavor-text/d/Demon%27s%c5%ea%da%b3%a5%a2%a5%a4%a5%c6%a5%e0"
"デモンズソウル","その他","ソウル","遺体に残っていた、名も無き戦士の魂の名残使用により、使用者のソウルとなるこれを遺体に放っておいても、やがてデーモンの糧になるだけだそれならば…（アイテム: 不明）\n\n---\n\n遺体に残っていた、高名な戦士の魂の名残使用により、使用者のソウルとなるこれを遺体に放っておいても、やがてデーモンの糧になるだけだそれならば…（アイテム: 不明）\n\n---\n\n遺体に残っていた、伝承の戦士の魂の名残使用により、使用者のソウルとなるこれを遺体に放っておいても、やがてデーモンの糧になるだけだそれならば…（アイテム: 不明）\n\n---\n\nユーザIDを使用しないで書き込む（アイテム: 不明）\n\n---\n\n画像に記載されている文字を下のフォームに入力してください。（アイテム: 不明）\n\n---\n\n利用規約をご確認のうえご記入下さい（アイテム: 不明）\n\n---\n\nフロムソフト フレーバーテキスト\nフロム・ソフトのフレーバーテキストをまとめる場所（アイテム: 不明）\n\n---\n\n名も無き戦士のソウル（英名：Unknown Warrior Soul ） \n\n説明文英文画像遺体に残っていた、名も無き戦士の魂の名残使用により、使用者のソウルとなるこれを遺体に放っておいても、やがてデーモンの糧になるだけだそれならば…The remnants of a nameless soldier's spirit that remained in its corpse. Use it and the Souls will be added to your stock. Even if you leave this be, it will only become nourishment for demons. In which case…（アイテム: 不明）\n\n---\n\n名も無き勇者のソウル（英名：Unknown Hero Soul） \n\n説明文英文画像遺体に残っていた、名も無き勇者の魂の名残使用により、使用者のソウルとなるこれを遺体に放っておいても、やがてデーモンの糧になるだけだそれならば…The echoes of a soul found on the corpse of an unknown hero. Consume to gain souls.Go on, if left alone, it would only serve as feed for demons...（アイテム: 不明）\n\n---\n\n高名な戦士のソウル（英名：Renowned Warrior Soul| \n\n説明文英文画像遺体に残っていた、高名な戦士の魂の名残使用により、使用者のソウルとなるこれを遺体に放っておいても、やがてデーモンの糧になるだけだそれならば…The remnants of a renowned soldier's spirit that remained in its corpse. Use it and the Souls will be added to your stock. Even if you leave this be, it will only become nourishment for demons. In which case...（アイテム: 不明）","https://seesaawiki.jp/fromsoft_flavor-text/d/Demon%27s%a5%bd%a5%a6%a5%eb"
"デモンズソウル","その他","デモンズソウル","小さな炎の鱗のデモンズソウル（アイテム: 不明）\n\n---\n\n大きな炎の鱗のデモンズソウル（アイテム: 不明）\n\n---\n\n肥大したデモンズソウル（アイテム: 不明）\n\n---\n\n蝕まれたデモンズソウル（アイテム: 不明）\n\n---\n\n火防女のデモンズソウル（アイテム: 不明）\n\n---\n\n色の無いデモンズソウル（アイテム: 不明）\n\n---\n\nデーモン「ファランクス」のソウル強い力を感じる使用により、使用者に大量のソウルをもたらす他魔法、奇跡、武器などに変じることもある（アイテム: 不明）\n\n---\n\nデーモン「塔の騎士」のソウル強い力を感じる使用により、使用者に大量のソウルをもたらす他魔法、奇跡、武器などに変じることもある（アイテム: 不明）\n\n---\n\nデーモン「つらぬきの騎士」のソウル強い力を感じる使用により、使用者に大量のソウルをもたらす他魔法、奇跡、武器などに変じることもある（アイテム: 不明）\n\n---\n\nデーモン「王の化身」のソウル非常に強い力を感じる使用により、使用者に大量のソウルをもたらす他魔法、奇跡、武器などに変じることもある（アイテム: 不明）","https://seesaawiki.jp/fromsoft_flavor-text/d/Demon%27s%a5%c7%a5%e2%a5%f3%a5%ba%a5%bd%a5%a6%a5%eb"
"デモンズソウル","その他","強化素材","硬質の鉱石の欠片直剣、斧、槌などを強化する武器の威力を平均的に高める、基本的な鉱石硬石による強化は最大で10段階まで可能となる（アイテム: 不明）\n\n---\n\n硬質の鉱石の大きな欠片直剣、斧、槌などを強化する武器の威力を平均的に高める、基本的な鉱石硬石による強化は最大で10段階まで可能となる（アイテム: 不明）\n\n---\n\n硬質の鉱石の塊直剣、斧、槌などを強化する武器の威力を平均的に高める、基本的な鉱石硬石による強化は最大で10段階まで可能となる（アイテム: 不明）\n\n---\n\n貴重な、純粋な硬石直剣、斧、槌などを強化する武器の威力を平均的に高める、基本的な鉱石硬石による強化は最大で10段階まで可能となる（アイテム: 不明）\n\n---\n\n鋭い鉱石の欠片刺剣、曲剣、槍などを強化する武器の威力を平均的に高める、基本的な鉱石鋭石による強化は最大で10段階まで可能となる（アイテム: 不明）\n\n---\n\n鋭い鉱石の大きな欠片刺剣、曲剣、槍などを強化する武器の威力を平均的に高める、基本的な鉱石鋭石による強化は最大で10段階まで可能となる（アイテム: 不明）\n\n---\n\n鋭い鉱石の塊刺剣、曲剣、槍などを強化する武器の威力を平均的に高める、基本的な鉱石鋭石による強化は最大で10段階まで可能となる（アイテム: 不明）\n\n---\n\n貴重な、純粋な鋭石刺剣、曲剣、槍などを強化する武器の威力を平均的に高める、基本的な鉱石鋭石による強化は最大で10段階まで可能となる（アイテム: 不明）\n\n---\n\n白く結晶化した鉱石の欠片多様な武器を強化する使用者の能力が重要な、上質の武器を作る鉱石みなぎ石による強化は、最大5段階まで可能となる（アイテム: 不明）\n\n---\n\n大変貴重な、純粋なみなぎ石多様な武器を強化する使用者の能力が重要な、上質の武器を作る鉱石みなぎ石による強化は、最大5段階まで可能となる（アイテム: 不明）","https://seesaawiki.jp/fromsoft_flavor-text/d/Demon%27s%b6%af%b2%bd%c1%c7%ba%e0"
"デモンズソウル","その他","貴重品","希望の牢、1階牢獄の鍵（アイテム: 不明）\n\n---\n\n希望の牢、2階西牢獄の鍵（アイテム: 不明）\n\n---\n\n希望の牢、2階東牢獄の鍵（アイテム: 不明）\n\n---\n\n希望の牢、3階牢獄の鍵（アイテム: 不明）\n\n---\n\n希望の牢、4階牢獄の鍵（アイテム: 不明）\n\n---\n\nソウルの業により光を放つ石その光は、周囲のソウルにより色を変える「拓くもの」賢者フレーキの友であり魔術的工芸品で知られた、ゲリの作の一つ軽量かつ扱いが容易であることからひろく旅人に愛用されている（アイテム: 不明）\n\n---\n\n鉄製の鍵の束どれも似たような形だが（アイテム: 不明）\n\n---\n\n重々しい鉄製の鍵血がこびりついている（アイテム: 不明）\n\n---\n\n彫刻された蝋石の鍵ボーレタリア王家霊廟の扉を開く（アイテム: 不明）\n\n---\n\n緑銅製の簡素な鍵うっすらとカビの類が確認できる（アイテム: 不明）","https://seesaawiki.jp/fromsoft_flavor-text/d/Demon%27s%b5%ae%bd%c5%c9%ca"
"デモンズソウル","その他","矢・ボルト","鏃まで木製の矢作りが荒く低質だが、軽く安い弓で使用する射撃には、弓と矢の両者を装備する必要がある（アイテム: 不明）\n\n---\n\n標準的な矢弓で使用する射撃には、弓と矢の両者を装備する必要がある（アイテム: 不明）\n\n---\n\n太い鏃を持つ大型の矢標準的な矢よりも威力が大きい弓で使用する射撃には、弓と矢の両者を装備する必要がある（アイテム: 不明）\n\n---\n\n遠矢標準的な矢よりも飛距離が長い弓で使用する射撃には、弓と矢の両者を装備する必要がある（アイテム: 不明）\n\n---\n\n火矢松脂を鏃に含め、火をつけて放ち対象に炎のダメージを与える弓で使用する射撃には、弓と矢の両者を装備する必要がある（アイテム: 不明）\n\n---\n\n腐敗した汚物に鏃を漬け込んだ特殊な矢対象はかすり傷から腐れ落ちる弓で使用する射撃には、弓と矢の両者を装備する必要がある（アイテム: 不明）\n\n---\n\n呪術儀式用の特別な矢音を出して飛来し、その音で邪を祓うといわれ魔法的に強化されている弓で使用する射撃には、弓と矢の両者を装備する必要がある（アイテム: 不明）\n\n---\n\nまがりくねった白木の矢白の弓と対になる、伝承の武器非常に威力が大きい弓で使用する射撃には、弓と矢の両者を装備する必要がある（アイテム: 不明）\n\n---\n\n木製の太矢作りが荒く低質だが、軽く安い弩で使用する射撃には、弩と太矢の両者を装備する必要がある（アイテム: 不明）\n\n---\n\n標準的な太矢弩で使用する射撃には、弩と太矢の両者を装備する必要がある（アイテム: 不明）","https://seesaawiki.jp/fromsoft_flavor-text/d/Demon%27s%cc%f0%a1%a6%a5%dc%a5%eb%a5%c8"
"デモンズソウル","その他","短剣","標準的な短剣刃による攻撃に主眼をおいた斬撃武器は柔らかな表皮に大きな威力を発揮する一方で金属鎧、硬いウロコなどには効果が低いまた短剣は、パリィ後あるいは背後からの近接刺突攻撃の効果が高い（アイテム: 不明）\n\n---\n\n用途の広い片刃の短剣王に飼われた隠密たちの装備刃による攻撃に主眼をおいた斬撃武器は柔らかな表皮に大きな威力を発揮する一方で金属鎧、硬いウロコなどには効果が低いまた短剣は、パリィ後あるいは背後からの近接刺突攻撃の効果が高い（アイテム: 不明）\n\n---\n\nパリィに特化した短剣左手装備が基本密室に篭り、ソウルの業を奉じる秘匿者たちの武器彼女らは盾ではなく、この特殊短剣を好んで使用する（アイテム: 不明）\n\n---\n\n疫病源の仕込まれた短剣刃が爪のように湾曲している女あるいは子供による暗殺に多用された特殊な武器の中でも、特に禍々しいもののひとつ（アイテム: 不明）\n\n---\n\nユーザIDを使用しないで書き込む（アイテム: 不明）\n\n---\n\n画像に記載されている文字を下のフォームに入力してください。（アイテム: 不明）\n\n---\n\n利用規約をご確認のうえご記入下さい（アイテム: 不明）\n\n---\n\nフロムソフト フレーバーテキスト\nフロム・ソフトのフレーバーテキストをまとめる場所（アイテム: 不明）\n\n---\n\nDemon's短剣（アイテム: 不明）\n\n---\n\nダガー（英名：Dagger） \n\n説明文英文画像標準的な短剣刃による攻撃に主眼をおいた斬撃武器は柔らかな表皮に大きな威力を発揮する一方で金属鎧、硬いウロコなどには効果が低いまた短剣は、パリィ後あるいは背後からの近接刺突攻撃の効果が高いA standard dagger.A slashing weapon that inflicts heavy damage on soft flesh but has a limited effect on metal armor and hard scales.  Daggers are very effective after parrying, as well as in close-range stabs from behind.（アイテム: 不明）","https://seesaawiki.jp/fromsoft_flavor-text/d/Demon%27s%c3%bb%b7%f5"
"ダークソウル1","その他","消耗品","不死人の宝たる鈍い緑ガラスの瓶篝火でエストを溜め、飲んでＨＰを回復する篝火の守り手、火防女と深い関わりがあるようで暗い伝承にはこんな一説がある　火防女の魂から、その緑瓶は生まれる　彼女たちは、生きて篝火を守り　死してなお、その熱を守り続けるのだ（アイテム: 不明）\n\n---\n\n霊廟の守人、エリザベスの秘薬大型の菌類の類だろうか口にすれば肉体を鼓舞し、高揚させ一定時間、ＨＰを大きく回復し続けるその強い効果は、戦士の切り札ともなるだろう（アイテム: 不明）\n\n---\n\n女神グウィネヴィアの祝福の聖水ＨＰを全回復し、異常を癒す太陽の光の女神として知られるグウィネヴィアは偉大なる太陽の光の王グウィンの娘であり豊穣と恵みの象徴として、ひろく人々に愛されている（アイテム: 不明）\n\n---\n\n大輪の花のような緑の草一時的に、スタミナの回復速度を上げる独特の苦味と刺激に特徴のある草本その効果により大量に栽培されることもあるが本来は水辺に自生する一年草である（アイテム: 不明）\n\n---\n\n薬効のある赤色の苔玉出血の蓄積を減らす出血は、鋭い刃やトゲの攻撃により蓄積し発生すると大きなダメージとなるそうなる前に、この苔玉を使うとよい（アイテム: 不明）\n\n---\n\n薬効のある紫色の苔玉毒の蓄積を減らし、毒状態を解除する毒は体に蓄積し、発生すると毒状態となりしばらくの間ダメージを与え続ける毒は非常に厄介でありそれが予想される場所に向かうのならばこの苔玉を用意しておいて損はない（アイテム: 不明）\n\n---\n\n強い薬効のある花付きの苔玉毒や猛毒の蓄積を減らし、状態を解除する猛毒は毒の一種であるがその効果は強く、すぐに死を招く花無しは猛毒にまったく無力でありこの花苔玉の有無が生死を分けることも多い（アイテム: 不明）\n\n---\n\n半ば頭骨が溶け込んだ灰色の石カリム伯アルスターの秘宝の１つ呪いの蓄積を減らし、呪死状態を解除する人は呪いに対し無力でありそれを逸らすことしかできない解呪石もまた、呪いを逸らす先でしかなくそれは人、ないし人だった何かなのだろう（アイテム: 不明）\n\n---\n\n苦すっぱいドングリ体に寄生したたまごを取り除くたまご背負いとは自ら進んで混沌の炎に仕えんとする者たちでありたまごはその象徴である故にこのドングリは禁断の実ですらあるが何処にも、禁忌が許される理由はあるものだ（アイテム: 不明）\n\n---\n\n弱い魔力を帯びた金属粉右手の武器を修理する武器は使用により耐久度が落ちていき一定値以下になるとその効果は大きく落ちる修理箱を必要としないこの粉は戦場で武器を修理できる貴重な手段となる（アイテム: 不明）","https://seesaawiki.jp/fromsoft_flavor-text/d/DSR%be%c3%cc%d7%c9%ca"
