アイテム名,URL,フレーバーテキスト
"実績・トロフィー","https://kamikouryaku.net/eldenring/?%E5%AE%9F%E7%B8%BE%E3%83%BB%E3%83%88%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC","（フレーバーテキストなし）"
"ビルド","https://kamikouryaku.net/eldenring/?%E3%83%93%E3%83%AB%E3%83%89","（フレーバーテキストなし）"
"n71d2b58","https://kamikouryaku.net/eldenring/?%E9%81%93%E5%85%B7#n71d2b58","（フレーバーテキストなし）"
"hfd62a3a","https://kamikouryaku.net/eldenring/?%E9%81%93%E5%85%B7#hfd62a3a","（フレーバーテキストなし）"
"聖杯瓶","https://kamikouryaku.net/eldenring/?%E8%81%96%E6%9D%AF%E7%93%B6","緋雫の聖杯瓶

かつて恵みの雫を受領したという
黄金の聖杯を模した瓶
緋色の雫を満たし、使用によりHPを回復する
また、祝福で休むことで補充される
墓地に流れ着き、ただ死んでいくはずの体は
おそらく、これによって癒されたのだろう
エルデンリングを求めるために


青雫の聖杯瓶

かつて恵みの雫を受領したという
黄金の聖杯を模した瓶
青色の雫を満たし、使用によりFPを回復する
また、祝福で休むことで補充される
墓地に流れ着き、ただ死んでいくはずの体は
おそらく、これによって癒されたのだろう
エルデンリングを求めるために


霊薬の聖杯瓶

黄金樹の司祭たる霊薬師たちの遺物
永き時の末に生じる、結晶雫の力を引き出すもの
結晶雫の配合により、様々な特別な効果をもたらす
また、祝福で休むことで補充される
狭間の各地、小黄金樹の麓には
結晶雫を溜める水盆があるという"
"漂着墓地","https://kamikouryaku.net/eldenring/?%E6%BC%82%E7%9D%80%E5%A2%93%E5%9C%B0","ゲーム開始地点である王を待つ礼拝堂でボスエリア侵入後、死亡するとたどり着くエリア。ゲームのチュートリアルを兼ねている。"
"聖杯瓶","https://kamikouryaku.net/eldenring/?%E8%81%96%E6%9D%AF%E7%93%B6#xedad941","緋雫の聖杯瓶

かつて恵みの雫を受領したという
黄金の聖杯を模した瓶
緋色の雫を満たし、使用によりHPを回復する
また、祝福で休むことで補充される
墓地に流れ着き、ただ死んでいくはずの体は
おそらく、これによって癒されたのだろう
エルデンリングを求めるために


青雫の聖杯瓶

かつて恵みの雫を受領したという
黄金の聖杯を模した瓶
青色の雫を満たし、使用によりFPを回復する
また、祝福で休むことで補充される
墓地に流れ着き、ただ死んでいくはずの体は
おそらく、これによって癒されたのだろう
エルデンリングを求めるために


霊薬の聖杯瓶

黄金樹の司祭たる霊薬師たちの遺物
永き時の末に生じる、結晶雫の力を引き出すもの
結晶雫の配合により、様々な特別な効果をもたらす
また、祝福で休むことで補充される
狭間の各地、小黄金樹の麓には
結晶雫を溜める水盆があるという"
"第三マリカ教会","https://kamikouryaku.net/eldenring/?%E7%AC%AC%E4%B8%89%E3%83%9E%E3%83%AA%E3%82%AB%E6%95%99%E4%BC%9A","…その後、褪せ人の姿を見たものは誰もいないという…"
"祝福の記憶","https://kamikouryaku.net/eldenring/?%E7%A5%9D%E7%A6%8F%E3%81%AE%E8%A8%98%E6%86%B6","死せる褪せ人を狭間の地に導いた
最初の祝福の記憶
すべてのルーンを失い
最後に訪れた祝福に移動する
それはただ、繰り返す
エルデンリングに見えよ。エルデの王になるがよい"
"用語集","https://kamikouryaku.net/eldenring/?%E7%94%A8%E8%AA%9E%E9%9B%86#last_site_of_grace_visited","ちなみに、ガード強度とは別に弾きやすさとも言える隠しパラメータが設定されている。
これは盾で敵の攻撃をガードした時に、どれだけの攻撃を弾いて敵をよろめかせることができるのかを決めるものである。
基本的に小盾＜中盾＜大盾の順で弾きやすく、大盾の中でも蟻の頭甲は他の大盾と比べ弾き返せる攻撃が多い。
なお、PvPではどの盾だろうが蟻の頭甲だろうが攻撃を弾き返すことはできないので注意。
余談だが、以前は蟻の頭甲以外の大盾は金属や木製など材質によって弾きやすさが異なるとされていたことがあり、当wikiの一部大盾のコメント欄ではその点に触れたものも見受けられるが、内部データの解析などにより本当にそのような区分が存在するのかは疑問視されている。"
"霊馬の指笛","https://kamikouryaku.net/eldenring/?%E9%9C%8A%E9%A6%AC%E3%81%AE%E6%8C%87%E7%AC%9B","柔らかな金の指輪。指笛として使用する
霊馬トレントを呼び出し、騎乗する
（騎乗中に使用すれば、霊馬から降りる）
霊馬が死亡した後も再度呼び出せるが
「緋雫の聖杯瓶」が消費されてしまう"
"メリナ","https://kamikouryaku.net/eldenring/?%E3%83%A1%E3%83%AA%E3%83%8A","（フレーバーテキストなし）"
"ルーンの弧","https://kamikouryaku.net/eldenring/?%E3%83%AB%E3%83%BC%E3%83%B3%E3%81%AE%E5%BC%A7","エルデンリングが砕けた破片
使用により、装備した大ルーンの恩恵をもたらす
また大ルーンを装備しない状態で使用しても
HPの最大値を少しだけ上昇させる
エルデンリングの下方には
輪の恩恵の受け皿、底辺の弧があるとされている
これは、その破片であろう"
"星光の欠片","https://kamikouryaku.net/eldenring/?%E6%98%9F%E5%85%89%E3%81%AE%E6%AC%A0%E7%89%87","青く輝く、儚い細片
束の間に流れた星光の残滓
使用により、FPをゆっくり回復する
かつて、永遠の都では
精薬の材料として珍重されたという
Ver.1.00のテキスト
Ver.1.00のテキスト
天より降り注ぐ、青い星の光
その残光が欠片として大地に残ったもの
ある種の商人は、これを代価に
商品を融通してくれるらしい"
"微睡の枝","https://kamikouryaku.net/eldenring/?%E5%BE%AE%E7%9D%A1%E3%81%AE%E6%9E%9D","昏紫の祈祷が施された枝木
製作可能なアイテムのひとつ
自らに刺し、ゆっくりと睡眠を蓄積する
その間、FPが少しずつ回復する
この睡眠がたまりきった時
一時朦朧とするが、FPが減少することはない
微睡の中でこそ、自覚できる意志があり
心の奥から、浮かび上がる思いがある"
"マリカの祝福","https://kamikouryaku.net/eldenring/?%E3%83%9E%E3%83%AA%E3%82%AB%E3%81%AE%E7%A5%9D%E7%A6%8F","黄金樹の女王たるマリカが
自ら祝福したとされる特別な霊薬
HPを完全に回復し、全ての状態異常を癒す
彼女は、メスメルのために、この霊薬を幾つか作った
その後、二度とそうすることはなかった"
"墓地平原","https://kamikouryaku.net/eldenring/?%E5%A2%93%E5%9C%B0%E5%B9%B3%E5%8E%9F","続いて注意点。
飛び上がり、遠くから一気に距離を詰めてくる掴み攻撃がある。ガード不可なので、盾を構えず回避しよう。前述の低めの強靭とはうってかわって連続攻撃のモーション中は高い強靭が発生し、怯まなくなる。特にダウン後の起き上がりに重ねられるとガードやローリング回避する間もなくやられてしまう点には気を付けて立ち回ろう。
呪剣士は視界察知型らしく、後ろでどんなに音を出しても気づかれない。視界に入らなければ逃げるのは容易だが、逆に音で釣りだす囮は無効ということでもある。"
"懲罰砦","https://kamikouryaku.net/eldenring/?%E6%87%B2%E7%BD%B0%E7%A0%A6","（フレーバーテキストなし）"
"影を仰ぐ露台","https://kamikouryaku.net/eldenring/?%E5%BD%B1%E3%82%92%E4%BB%B0%E3%81%90%E9%9C%B2%E5%8F%B0","（フレーバーテキストなし）"
"y4ed9430","https://kamikouryaku.net/eldenring/?%E9%81%93%E5%85%B7#y4ed9430","（フレーバーテキストなし）"
"毒の苔薬","https://kamikouryaku.net/eldenring/?%E6%AF%92%E3%81%AE%E8%8B%94%E8%96%AC","洞窟苔を用いた緑色の丸薬
製作可能なアイテムのひとつ
毒の蓄積を軽減し、毒状態を癒す
毒は徐々に蓄積し、たまりきると毒状態となる
毒状態はしばらく続き、HPが減り続ける"
"双子の老婆","https://kamikouryaku.net/eldenring/?%E5%8F%8C%E5%AD%90%E3%81%AE%E8%80%81%E5%A9%86","第一に、特定の場所で手に入る「鈴玉」を捧げることで新たな商品を追加販売してくれるようになる。
通常の鈴玉であれば老婆のラインナップにそのまま商品が追加されるが、NPCの鈴玉の場合は「鈴玉取引」という専用の項目が追加される。
「鈴玉取引」では、対象となる商人NPCが生存していた頃に販売していた商品を買うことが可能。ただし、商品の在庫状況もそのまま引き継がれるため、一度在庫切れになってしまった商品を再度買い直すことは出来ない。"
"腐敗の苔薬","https://kamikouryaku.net/eldenring/?%E8%85%90%E6%95%97%E3%81%AE%E8%8B%94%E8%96%AC","洞窟苔を用いた朱色の丸薬
製作可能なアイテムのひとつ
朱い腐敗の蓄積を軽減し、腐敗状態を癒す
朱い腐敗は徐々に蓄積し
たまりきると腐敗状態になる
状態はしばらく続き、HPが大きく減り続ける"
"出血の苔薬","https://kamikouryaku.net/eldenring/?%E5%87%BA%E8%A1%80%E3%81%AE%E8%8B%94%E8%96%AC","洞窟苔を用いた赤色の丸薬
製作可能なアイテムのひとつ
出血の蓄積を軽減する
出血は徐々に蓄積し、
たまりきると大ダメージを受ける
そうなる前に、この丸薬を使うとよい"
"冷気の苔薬","https://kamikouryaku.net/eldenring/?%E5%86%B7%E6%B0%97%E3%81%AE%E8%8B%94%E8%96%AC","洞窟苔を用いた氷色の丸薬
製作可能なアイテムのひとつ
冷気の蓄積を軽減し、凍傷状態を癒す
冷気は徐々に蓄積し、
たまりきると凍傷状態となり、ダメージを受け
一定時間、被ダメージが増す
Ver.1.00のテキスト
Ver.1.00のテキスト
（名称：凍傷の苔薬）
洞窟苔を用いた氷色の丸薬
製作可能なアイテムのひとつ
凍傷の蓄積を軽減する
凍傷は徐々に蓄積し、
たまりきるとダメージを受け
また、体勢が崩れやすくなる
そうなる前に、この丸薬を使うとよい"
"睡眠の苔薬","https://kamikouryaku.net/eldenring/?%E7%9D%A1%E7%9C%A0%E3%81%AE%E8%8B%94%E8%96%AC","洞窟苔を用いた薄紫色の丸薬
製作可能なアイテムのひとつ
睡眠の蓄積を軽減する
睡眠は徐々に蓄積し、
たまりきっても眠ることはないが
一瞬朦朧とし、FPが減少してしまう
そうなる前に、この丸薬を使うとよい"
"発狂の苔薬","https://kamikouryaku.net/eldenring/?%E7%99%BA%E7%8B%82%E3%81%AE%E8%8B%94%E8%96%AC","洞窟苔を用いた黄色の丸薬
製作可能なアイテムのひとつ
発狂の蓄積を軽減する
発狂は徐々に蓄積し、
たまりきると大ダメージを受け
FPも減少してしまう
そうなる前に、この丸薬を使うとよい"
"死の苔薬","https://kamikouryaku.net/eldenring/?%E6%AD%BB%E3%81%AE%E8%8B%94%E8%96%AC","洞窟苔を用いた黒色の丸薬
製作可能なアイテムのひとつ
死の蓄積を軽減する
死は徐々に蓄積し、
たまりきると即死してしまう
そうなる前に、この丸薬を使うとよい"
"抗魔の干し肝","https://kamikouryaku.net/eldenring/?%E6%8A%97%E9%AD%94%E3%81%AE%E5%B9%B2%E3%81%97%E8%82%9D","青い薬液に浸した後、乾燥させた獣肝
製作可能なアイテムのひとつ
一時的に、魔力カット率を高め
魔力属性のダメージを軽減する"
"抗魔の肝漬け","https://kamikouryaku.net/eldenring/?%E6%8A%97%E9%AD%94%E3%81%AE%E8%82%9D%E6%BC%AC%E3%81%91","青い薬液に漬け込まれた獣肝
製作可能なアイテムのひとつ
一時的に、魔力カット率を大きく高め
魔力属性のダメージを大きく軽減する
拾い虫たちの漬物は
素材を腐敗させ、効能を高めている
きつい臭いも、やがて癖になるだろう"
"抗炎の干し肝","https://kamikouryaku.net/eldenring/?%E6%8A%97%E7%82%8E%E3%81%AE%E5%B9%B2%E3%81%97%E8%82%9D","赤い薬液に浸した後、乾燥させた獣肝
製作可能なアイテムのひとつ
一時的に、炎カット率を高め
炎属性のダメージを軽減する"
"抗炎の肝漬け","https://kamikouryaku.net/eldenring/?%E6%8A%97%E7%82%8E%E3%81%AE%E8%82%9D%E6%BC%AC%E3%81%91","赤い薬液に漬け込まれた獣肝
製作可能なアイテムのひとつ
一時的に、炎カット率を大きく高め
炎属性のダメージを大きく軽減する
拾い虫たちの漬物は
素材を腐敗させ、効能を高めている
きつい臭いも、やがて癖になるだろう"
"抗雷の干し肝","https://kamikouryaku.net/eldenring/?%E6%8A%97%E9%9B%B7%E3%81%AE%E5%B9%B2%E3%81%97%E8%82%9D","黄色い薬液に浸した後、乾燥させた獣肝
製作可能なアイテムのひとつ
一時的に、雷カット率を高め
雷属性のダメージを軽減する"
"抗雷の肝漬け","https://kamikouryaku.net/eldenring/?%E6%8A%97%E9%9B%B7%E3%81%AE%E8%82%9D%E6%BC%AC%E3%81%91","黄色い薬液に漬け込まれた獣肝
製作可能なアイテムのひとつ
一時的に、雷カット率を大きく高め
雷属性のダメージを大きく軽減する
拾い虫たちの漬物は
素材を腐敗させ、効能を高めている
きつい臭いも、やがて癖になるだろう"
"抗聖の干し肝","https://kamikouryaku.net/eldenring/?%E6%8A%97%E8%81%96%E3%81%AE%E5%B9%B2%E3%81%97%E8%82%9D","金の薬液に浸した後、乾燥させた獣肝
製作可能なアイテムのひとつ
一時的に、聖カット率を高め
聖属性のダメージを軽減する"
"抗聖の肝漬け","https://kamikouryaku.net/eldenring/?%E6%8A%97%E8%81%96%E3%81%AE%E8%82%9D%E6%BC%AC%E3%81%91","金の薬液に漬け込まれた獣肝
製作可能なアイテムのひとつ
一時的に、聖カット率を大きく高め
聖属性のダメージを大きく軽減する
拾い虫たちの漬物は
素材を腐敗させ、効能を高めている
きつい臭いも、やがて癖になるだろう"
"真珠色の肝漬け","https://kamikouryaku.net/eldenring/?%E7%9C%9F%E7%8F%A0%E8%89%B2%E3%81%AE%E8%82%9D%E6%BC%AC%E3%81%91","真珠色の薬液に漬け込まれた獣肝
製作可能なアイテムのひとつ
一時的に、物理以外のカット率を大きく高め
物理以外の属性ダメージを大きく軽減する
拾い虫たちの漬物は
素材を腐敗させ、効能を高めている
きつい臭いも、やがて癖になるだろう"
"免疫の干し肉","https://kamikouryaku.net/eldenring/?%E5%85%8D%E7%96%AB%E3%81%AE%E5%B9%B2%E3%81%97%E8%82%89","緑の薬液に浸した後、乾燥させたそぎ肉
製作可能なアイテムのひとつ
一時的に、免疫耐性を高める
免疫耐性が高まると
様々な毒および朱い腐敗に対して
その蓄積を抑える効果がある"
"頑健の干し肉","https://kamikouryaku.net/eldenring/?%E9%A0%91%E5%81%A5%E3%81%AE%E5%B9%B2%E3%81%97%E8%82%89","赤の薬液に浸した後、乾燥させたそぎ肉
製作可能なアイテムのひとつ
一時的に、頑健耐性を高める
頑健耐性が高まると
出血および冷気の蓄積を抑える効果がある
Ver.1.00のテキスト
Ver.1.00のテキスト
赤の薬液に浸した後、乾燥させたそぎ肉
製作可能なアイテムのひとつ
一時的に、頑健耐性を高める
頑健耐性が高まると
出血および凍傷の蓄積を抑える効果がある"
"正気の干し肉","https://kamikouryaku.net/eldenring/?%E6%AD%A3%E6%B0%97%E3%81%AE%E5%B9%B2%E3%81%97%E8%82%89","紫の薬液に浸した後、乾燥させたそぎ肉
製作可能なアイテムのひとつ
一時的に、正気耐性を高める
正気耐性が高まると
睡眠および発狂の蓄積を抑える効果がある"
"斑色の干し肉","https://kamikouryaku.net/eldenring/?%E6%96%91%E8%89%B2%E3%81%AE%E5%B9%B2%E3%81%97%E8%82%89","斑の薬液に浸した後、乾燥させたそぎ肉
製作可能なアイテムのひとつ
一時的に、免疫、頑健、正気の耐性を高める"
"免疫の干し白肉","https://kamikouryaku.net/eldenring/?%E5%85%8D%E7%96%AB%E3%81%AE%E5%B9%B2%E3%81%97%E7%99%BD%E8%82%89","緑の薬液に浸した後、乾燥させた白そぎ肉
製作可能なアイテムのひとつ
一時的に、免疫耐性を高める
通常の干し肉に比べ、持続時間が長いが
耐性を高める効果は少し劣る"
"頑健の干し白肉","https://kamikouryaku.net/eldenring/?%E9%A0%91%E5%81%A5%E3%81%AE%E5%B9%B2%E3%81%97%E7%99%BD%E8%82%89","赤の薬液に浸した後、乾燥させた白そぎ肉
製作可能なアイテムのひとつ
一時的に、頑健耐性を高める
通常の干し肉に比べ、持続時間が長いが
耐性を高める効果は少し劣る"
"正気の干し白肉","https://kamikouryaku.net/eldenring/?%E6%AD%A3%E6%B0%97%E3%81%AE%E5%B9%B2%E3%81%97%E7%99%BD%E8%82%89","紫の薬液に浸した後、乾燥させた白そぎ肉
製作可能なアイテムのひとつ
一時的に、正気耐性を高める
通常の干し肉に比べ、持続時間が長いが
耐性を高める効果は少し劣る"
"斑色の干し白肉","https://kamikouryaku.net/eldenring/?%E6%96%91%E8%89%B2%E3%81%AE%E5%B9%B2%E3%81%97%E7%99%BD%E8%82%89","斑の薬液に浸した後、乾燥させた白そぎ肉
製作可能なアイテムのひとつ
一時的に、免疫、頑健、正気の耐性を高める
通常の干し肉に比べ、持続時間が長いが
耐性を高める効果は少し劣る"
"亀首漬け","https://kamikouryaku.net/eldenring/?%E4%BA%80%E9%A6%96%E6%BC%AC%E3%81%91","苦い薬液に漬け込んだ亀の首肉
製作可能なアイテムのひとつ
一時的に、スタミナ回復速度を高める
その滋養は、やがて沸々と
尽きぬ力を沸き立たせる"
"亀首の古漬け","https://kamikouryaku.net/eldenring/?%E4%BA%80%E9%A6%96%E3%81%AE%E5%8F%A4%E6%BC%AC%E3%81%91","苦い薬液に、じっくりと漬け込んだ亀の首肉
製作可能なアイテムのひとつ
一時的に、スタミナ回復速度を大きく高める
拾い虫たちの漬物は
素材を腐敗させ、効能を高めている
きつい臭いも、やがて癖になるだろう"
"勇者の肉塊","https://kamikouryaku.net/eldenring/?%E5%8B%87%E8%80%85%E3%81%AE%E8%82%89%E5%A1%8A","香辛料と薬液に漬け込んだ獣肉の塊
製作可能なアイテムの一つ
一時的に、物理攻撃力が上昇する
蛮地では最高のご馳走とされ
特に勇者だけに振舞われる"
"竜餐の肉塊","https://kamikouryaku.net/eldenring/?%E7%AB%9C%E9%A4%90%E3%81%AE%E8%82%89%E5%A1%8A","冷めぬ熱を帯びた獣肉の塊
製作可能なアイテムのひとつ
生命力、持久力、筋力、技量を上昇させるが
HPが少しずつ減少する
人の手で再現された逆鱗の肉塊
それは、竜の戦士の飢えを一時だけ満たす"
"逆鱗の肉塊","https://kamikouryaku.net/eldenring/?%E9%80%86%E9%B1%97%E3%81%AE%E8%82%89%E5%A1%8A","古い竜の体に生じるとされる逆鱗
その根元部分の、熱を帯びた肉塊
そのまま食べることで
生命力、持久力、筋力、技量を上昇させるが
HPが少しずつ減少する
竜熱は、竜の戦士にとって最上の酒である"
"ギザ山の飛竜","https://kamikouryaku.net/eldenring/?%E3%82%AE%E3%82%B6%E5%B1%B1%E3%81%AE%E9%A3%9B%E7%AB%9C","ギザ山の麓にいるボス。飛竜アギールとほぼ同型の飛竜である。
同名ボスが2体おり、ギザ山の麓に入ってすぐの場所に1体、北東のほうに他の竜と争っている1体がいる。
争っている2体はHPゲージが表示されている方のみがボス扱いで、倒した時にもう一方が残っていても勝利判定になる。
後者はNPC「エーゴン」と関連している。"
"指紋の秘薬","https://kamikouryaku.net/eldenring/?%E6%8C%87%E7%B4%8B%E3%81%AE%E7%A7%98%E8%96%AC","渦上の皺の刻まれた丸薬
製作可能なアイテムのひとつ
精神力、知力、信仰、神秘を上昇させるが
HPが少しずつ減少する
人の身で、指にならんとする者たちの秘薬
それを飲むと、体の中を何かが這い回る"
"鳥脚の白銀漬け","https://kamikouryaku.net/eldenring/?%E9%B3%A5%E8%84%9A%E3%81%AE%E7%99%BD%E9%8A%80%E6%BC%AC%E3%81%91","白銀の薬液に漬け込んだ四指の鳥脚
製作可能なアイテムのひとつ
一時的に、発見力が上昇する
古来、富まんとする者は
鳥の脚にすらしゃぶりつく"
"鳥脚の黄金漬け","https://kamikouryaku.net/eldenring/?%E9%B3%A5%E8%84%9A%E3%81%AE%E9%BB%84%E9%87%91%E6%BC%AC%E3%81%91","黄金の薬液に漬け込んだ四指の鳥脚
製作可能なアイテムのひとつ
一定時間、敵を倒した時の取得ルーンが増える
古来、富まんとする者は
鳥の脚にすらしゃぶりつく"
"白銀の角貨","https://kamikouryaku.net/eldenring/?%E7%99%BD%E9%8A%80%E3%81%AE%E8%A7%92%E8%B2%A8","角人が使用した古い貨幣
巻き角を加工し、白銀の塗装を施したもの
一時的に、発見力が上昇する
また高値で取引される
かつて、それは持てる人々の象徴であった"
"黄金の角貨","https://kamikouryaku.net/eldenring/?%E9%BB%84%E9%87%91%E3%81%AE%E8%A7%92%E8%B2%A8","角人が使用した古い貨幣
巻き角を加工し、黄金の塗装を施したもの
一定時間、敵を倒した時の取得ルーンが増える
また高値で取引される
かつて、それは責問の名誉に与えられた"
"ゆでエビ","https://kamikouryaku.net/eldenring/?%E3%82%86%E3%81%A7%E3%82%A8%E3%83%93","茹で上げられたエビの身肉
プリプリとして汁気もある見事なもの
塩加減にコツがあるらしい
一定時間、物理カット率を高める
実際には、ザリガニの身肉のようだ
まあ、美味ければそれでよいのだが
※フレーバーテキストより
茹で上げられたエビの身肉(5個)。
一定時間、物理カット率を高める
※形見選択時の解説より
Ver.1.00のテキスト
Ver.1.00のテキスト
茹で上がったザリガニの身肉
プリプリとして汁気もある見事なもの
曰く、塩加減にコツがあるらしい
物理カット率を高める
ならず者は、これをエビと誤解している
まあ、美味ければなんでもよいのだが
※フレーバーテキストより


物理カット率を高める
※形見選択時の解説より"
"ならず者","https://kamikouryaku.net/eldenring/?%E3%81%AA%E3%82%89%E3%81%9A%E8%80%85","物理耐性は総じて低め。斬撃に少しだけ強く、刺突に少しだけ弱いが、2％強の差である。
非物理はそれなりの耐性を持つ。聖が多少効きにくく、雷が多少効きやすい。
エビ茹でのボロ家、王都外廓ともに周りが水場なので雷が有効になりやすい。
ゆでエビ、誇示する咆哮を使用して被ダメージを下げてくる。"
"ゆでカニ","https://kamikouryaku.net/eldenring/?%E3%82%86%E3%81%A7%E3%82%AB%E3%83%8B","茹で上げられたカニの身肉
プリプリとして汁気もある見事なもの
これもまた、塩加減にコツがあるらしい
一定時間、物理カット率を大きく高める
エビとは違い、これは確かにカニである
まあ、美味ければそれでよいのだが
Ver.1.00のテキスト
Ver.1.00のテキスト
茹で上がったカニの身肉
プリプリとして汁気もある見事なもの
これもまた、塩加減にコツがあるらしい
物理カット率を大きく高める
エビとは違い、これは確かにカニである
まあ、美味ければなんでもよいのだが"
"サソリ煮込み","https://kamikouryaku.net/eldenring/?%E3%82%B5%E3%82%BD%E3%83%AA%E7%85%AE%E8%BE%BC%E3%81%BF","黒い汁で煮込まれたサソリ
角人の伝統の一皿
一時的に、物理カット率を高め
HPをゆっくりと回復する
かつて家族の食卓に饗された、老婆の手料理
冷めきったそれからは、すえた匂いがする"
"角人の老婆","https://kamikouryaku.net/eldenring/?%E8%A7%92%E4%BA%BA%E3%81%AE%E8%80%81%E5%A9%86","（フレーバーテキストなし）"
"贅沢なサソリ煮込み","https://kamikouryaku.net/eldenring/?%E8%B4%85%E6%B2%A2%E3%81%AA%E3%82%B5%E3%82%BD%E3%83%AA%E7%85%AE%E8%BE%BC%E3%81%BF","黒い汁で煮込まれたサソリ
美味なる爪を大量に使った贅沢な一皿
一時的に、物理カット率を高め
HPをゆっくりと大きく回復する
煮込みには、料理する者の思いが溶け込む
だが、その味が分かる者はごく少ない
勇人様。たんと食べてくだされ"
"生肉団子","https://kamikouryaku.net/eldenring/?%E7%94%9F%E8%82%89%E5%9B%A3%E5%AD%90","匂いの強い生肉の団子
腐りかけだが、だからこそ美味
HPを回復するが、毒状態になる
一体何の肉なのか、それは分からない
不安なら、口になどせぬことだ"
"聖なる血肉","https://kamikouryaku.net/eldenring/?%E8%81%96%E3%81%AA%E3%82%8B%E8%A1%80%E8%82%89","たっぷりと血を含んだ生肉
血鬼たちの特別な食物
一時的に、物理攻撃力と神秘を高める
周囲で出血状態が発生すると、攻撃力は更に高まる
その血は、姿なき母の傷から滴ったとされ
いつまでも乾かず、腐ることもない"
"mf07183e","https://kamikouryaku.net/eldenring/?%E9%81%93%E5%85%B7#mf07183e","（フレーバーテキストなし）"
"ヒビ壺","https://kamikouryaku.net/eldenring/?%E3%83%92%E3%83%93%E5%A3%BA","製作した投擲壺を使用または木箱に格納すると再度製作可能になるため、「投擲壺を製作→木箱に格納→投擲壺を製作→木箱に格納→…」という手順を繰り返せば、手間は掛かるが投擲壺を木箱の格納数上限まで作ることが可能。
なお、投擲壺を木箱へストックする場合は、先に木箱からの自動補充をOFFにしておくこと。"
"儀式壺","https://kamikouryaku.net/eldenring/?%E5%84%80%E5%BC%8F%E5%A3%BA","製作した投擲壺を使用または木箱に格納すると再度製作可能になるため、「投擲壺を製作→木箱に格納→投擲壺を製作→木箱に格納→…」という手順を繰り返せば、手間は掛かるが投擲壺を木箱の格納数上限まで作ることが可能。
なお、投擲壺を木箱へストックする場合は、先に木箱からの自動補充をOFFにしておくこと。"
"ヒビ大壺","https://kamikouryaku.net/eldenring/?%E3%83%92%E3%83%93%E5%A4%A7%E5%A3%BA","壊れても、また復元する大きな空壺
ヒビ大壺アイテムの製作に必要となる容器
その内に様々な素材と術を封じ
投げつけることで効果を発揮する
ボニ村の大壺師たちがこれを作り
冷たい牢獄に納めるのだという"
"火炎壺","https://kamikouryaku.net/eldenring/?%E7%81%AB%E7%82%8E%E5%A3%BA","ヒビ壺を使った製作アイテムのひとつ
火を生じる素材を混ぜ合わせ、壺に封じたもの
敵に投げつけ、炎ダメージを与える"
"赤獅子の火炎壺","https://kamikouryaku.net/eldenring/?%E8%B5%A4%E7%8D%85%E5%AD%90%E3%81%AE%E7%81%AB%E7%82%8E%E5%A3%BA","儀式壺を使った製作アイテムのひとつ
赤獅子の紋章を刻んだ火炎壺
敵に投げつけ、大きな炎ダメージを与える
ラダーン軍の生き残りは
今も、火で朱い腐敗を食い止めている"
"巨人火の火炎壺","https://kamikouryaku.net/eldenring/?%E5%B7%A8%E4%BA%BA%E7%81%AB%E3%81%AE%E7%81%AB%E7%82%8E%E5%A3%BA","儀式壺を使った製作アイテムのひとつ
巨人の火の祈祷が施されている
FPを消費して、敵に投げつけ
大きな炎ダメージを与える
また、その威力は信仰により補正される"
"大火炎壺","https://kamikouryaku.net/eldenring/?%E5%A4%A7%E7%81%AB%E7%82%8E%E5%A3%BA","ヒビ大壺を使った製作アイテムのひとつ
大量の素材を、大壺に封じたもの
敵に投げつけ、とても大きな炎ダメージを与える"
